week_start,store_id,promo_flag,sales_eur
2023-01-01,S1,0,22837.23
2023-01-08,S1,0,23060.88
2023-01-15,S1,1,24246.42
2023-01-22,S1,0,24202.07
2023-01-29,S1,1,27813.74
2023-02-05,S1,0,24909.93
2023-02-12,S1,0,21776.08
2023-02-19,S1,1,25950.05
2023-02-26,S1,0,25321.22
2023-03-05,S1,0,24766.42
2023-03-12,S1,0,24830.01
2023-03-19,S1,1,27488.91
2023-03-26,S1,1,27767.65
2023-04-02,S1,0,24001.94
2023-04-09,S1,0,23863.41
2023-04-16,S1,0,22984.9
2023-04-23,S1,1,26455.61
2023-04-30,S1,0,23905.81
2023-05-07,S1,1,25450.83
2023-05-14,S1,1,27156.2
2023-05-21,S1,1,24780.15
2023-05-28,S1,0,21482.76
2023-06-04,S1,1,27817.71
2023-06-11,S1,1,23869.42
2023-06-18,S1,1,23769.81
2023-06-25,S1,0,17530.74
2023-07-02,S1,0,21861.3
2023-07-09,S1,1,22345.99
2023-07-16,S1,0,22210.85
2023-07-23,S1,0,22269.46
2023-07-30,S1,0,19643.94
2023-08-06,S1,0,20088.1
2023-08-13,S1,0,19125.65
2023-08-20,S1,1,22266.76
2023-08-27,S1,1,22535.99
2023-09-03,S1,0,19029.25
2023-09-10,S1,0,22037.53
2023-09-17,S1,1,27563.15
2023-09-24,S1,1,25788.87
2023-10-01,S1,1,26143.78
2023-10-08,S1,0,24109.27
2023-10-15,S1,1,27452.94
2023-10-22,S1,0,23174.98
2023-10-29,S1,0,23254.08
2023-11-05,S1,0,22770.58
2023-11-12,S1,1,26187.46
2023-11-19,S1,0,24869.37
2023-11-26,S1,0,26038.98
2023-12-03,S1,0,24648.35
2023-12-10,S1,0,22596.32
2023-12-17,S1,0,22983.56
2023-12-24,S1,1,27744.29
2023-12-31,S1,1,28137.06
2024-01-07,S1,0,22991.01
2024-01-14,S1,1,24188.75
2024-01-21,S1,1,26134.78
2024-01-28,S1,0,22837.08
2024-02-04,S1,0,25452.41
2024-02-11,S1,0,21304.1
2024-02-18,S1,1,23972.86
2024-02-25,S1,1,22899.4
2024-03-03,S1,1,25642.54
2024-03-10,S1,0,21051.92
2024-03-17,S1,1,24515.51
2024-03-24,S1,0,20608.11
2024-03-31,S1,1,23101.17
2024-04-07,S1,0,21695.81
2024-04-14,S1,0,19792.2
2024-04-21,S1,1,23650.54
2024-04-28,S1,1,24036.28
2024-05-05,S1,1,21364.45
2024-05-12,S1,1,22575.12
2024-05-19,S1,1,23205.59
2024-05-26,S1,0,22418.24
2024-06-02,S1,1,25077.19
2024-06-09,S1,1,23275.37
2024-06-16,S1,1,26325.61
2024-06-23,S1,0,23664.5
2024-06-30,S1,1,26327.3
2024-07-07,S1,1,29672.51
2024-07-14,S1,1,25592.59
2024-07-21,S1,1,26591.39
2024-07-28,S1,0,23800.4
2024-08-04,S1,1,27105.83
2024-08-11,S1,0,22781.74
2024-08-18,S1,1,27019.59
2024-08-25,S1,1,26356.83
2024-09-01,S1,0,23848.74
2024-09-08,S1,0,25304.71
2024-09-15,S1,0,23630.26
2024-09-22,S1,0,22732.64
2024-09-29,S1,0,24133.11
2024-10-06,S1,0,24275.05
2024-10-13,S1,0,23727.59
2024-10-20,S1,1,25179.41
2024-10-27,S1,1,25361.79
2024-11-03,S1,0,20690.55
2024-11-10,S1,0,20416.28
2024-11-17,S1,1,24696.59
2024-11-24,S1,1,22584.74
2024-12-01,S1,0,20466.57
2024-12-08,S1,0,17116.69
2024-12-15,S1,1,23085.7
2024-12-22,S1,0,20016.58
2024-12-29,S1,1,21423.75
2025-01-05,S1,0,19056.28
2025-01-12,S1,0,19671.69
2025-01-19,S1,1,22950.75
